Gene,Half-life (h)
tauD,0.121666667
hemB,0.056666667
B0370,0.071666667
yaiT,0.141666667
tra5_1,0
B0373,0.103333333
yaiU,0.101666667
yaiH,0.106666667
sbmA,0.08
yaiW,0.08
B0379,0.078333333
B0380,0.128333333
ddlA,0.068333333
yaiB,0.125
phoA,0.085
psiF,0.086666667
yaiC,0.125
proC,0.09
yaiI,0.096666667
aroL,0.038333333
yaiA,0
aroM,0.061666667
yaiE,0.153333333
B0392,0.11
yaiD,0.075
yajF,0.085
B0395,0.075
araJ,0.101666667
sbcC,0.065
sbcD,0.098333333
phoB,0.081666667
phoR,0.07
BrnQ,0
proY,0.075
yajB,0.1
queA,0.265
tgt,0.07
yajC,0.075
secD,0.046666667
secF,0.081666667
yajD,0.126666667
tsx,0.068333333
yajI,0
ybaD,0.08
ribD,0.056666667
ribH,0.058333333
nusB,0.055
thiL,0.041666667
pgpA,0.048333333
yajO,0.065
dxs,0.036666667
ispA,0.065
xseB,0
yajK,0.096666667
thiJ,0.085
apbA,0.066666667
yajQ,0.068333333
yajR,0.156666667
cyoE,0.086666667
cyoD,0.071666667
cyoC,0.053333333
cyoB,0.055
cyoA,0.053333333
ampG,0.09
yajG,0
BolA,0
tig,0.038333333
clpP,0.041666667
clpX,0.035
lon,0.056666667
hupB,0
ybaU,0
ybaV,0.098333333
ybaW,0.12
ybaX,0.07
ybaE,0.09
cof,0
ybaO,0.068333333
mdlA,0.121666667
mdlB,0.155
glnK,0.085
tesB,0.06
ybaY,0.061666667
ybaZ,0.075
ybaA,0.14
ylaB,0.083333333
ylaC,0.108333333
ylaD,0.098333333
hha,0.066666667
ybaJ,0.07
acrB,0.048333333
acrA,0.036666667
acrR,0.103333333
ybaM,0.085
priC,0.108333333
ybaN,0.063333333
apt,0.056666667
dnaX,0.041666667
ybaB,0.058333333
recR,0.068333333
htpG,0.048333333
adk,0.058333333
hemH,0.08
ybaC,0.08
gsk,0.086666667
ybaL,0.075
fsr,0.09
ushA,0.048333333
ybaK,0.135
ybaP,0.11
ybaQ,0.053333333
ybaR,0.09
ybaS,0
ybaT,0.045
ybbI,0.05
ybbJ,0.05
ybbK,0.136666667
ybbL,0.061666667
ybbM,0.11
ybbN,0.068333333
ybbO,0.075
tesA,0.061666667
ybbA,0.153333333
ybbP,0.086666667
ybbC,0.086666667
B0499,0.076666667
ybbD,0.111666667
B0501,0.07
B0502,0.086666667
ybbB,0.131666667
ybbS,0
ybbT,0.085
ybbU,0.07
gcl,0.095
gip,0.13
ybbQ,0.115
ybbV,0.09
ybbW,0.108333333
ybbX,0.105
ybbY,0.14
ybbZ,0.095
ylbA,0.13
ylbB,0.083333333
ylbC,0.108333333
fdrA,0.11
ylbE,0.163333333
ylbF,0.09
arcC,0.085
purK,0.035
purE,0.048333333
ybbF,0.066666667
ppiB,0.05
cysS,0.065
ybcI,0.101666667
ybcJ,0.116666667
folD,0.053333333
sfmA,0.103333333
sfmC,0.116666667
sfmD,0.19
sfmH,0.086666667
sfmF,0.116666667
fimZ,0.136666667
intD,0.101666667
B0538,0.091666667
B0539,0.126666667
B0540,0.133333333
tra5_2,0.101666667
B0542,0.066666667
emrE,0.068333333
ybcK,0.096666667
ybcL,0.095
ybcM,0.068333333
ybcN,0.085
ninE,0.08
ybcO,0.108333333
rus,0.09
ybcQ,0.108333333
trs5_2,0.195
nmpC,0.081666667
ybcR,0.103333333
ybcS,0.123333333
ybcT,0.086666667
ybcU,0.098333333
ybcV,0.121666667
ybcW,0.08
nohB,0.153333333
ybcX,0.108333333
ybcY,0.126666667
ylcE,0.07
appY,0
ompT,0.07
envY,0.131666667
ybcH,0.058333333
nfrA,0
nfrB,0.141666667
ybcZ,0.068333333
ylcA,0.095
ylcB,0.098333333
ylcC,0.096666667
ylcD,0.128333333
ybdE,0.135
pheP,0
ybdG,0.115
nfnB,0.075
ybdF,0.091666667
ybdJ,0.078333333
