Gene,Half-life (h)
dnaC,7.066137787
dapA,2.023318385
yejA,2.220310071
glf,2.660423658
apt,1.506556065
trxA,8.040995977
ydeJ,2.874095891
tpiA,10.05672104
artI,6.633641949
glk,3.070139895
ptrA,10.13886566
nagZ,0.482539628
folD,4.058076321
nuoB,2.973979894
ligA,1.929081237
mrr,0.80756507
holC,34.03266397
mutS,1.903866281
gapA,21.40282366
nadC,5.065116021
gltI,5.760580298
katG,14.33824271
rsd,3.063859933
nanM,6.411886401
ileS,13.49936184
topA,3.222165692
alaS,12.37026333
pssA,2.915899472
tyrS,8.353381707
sohB,9.624784168
dppD,1.874090797
yfcE,27.7930339
dnaJ,47.15078698
spoT,2.218014623
qorB,1.862726811
yeeN,29.96998958
cysP,2.66645547
phoP,2.887986137
accC,32.56326334
lpxA,17.72225542
amyA,6.640560781
rpe,6.122429424
mppA,4.048007827
ddpA,0.904376645
iscU,0.250829426
nadE,6.658658745
gabD,2.374774404
ydhR,34.42957464
gadA,20.96767387
lpxD,13.06918471
cfa,0.237295078
eco,3.535544203
metJ,3.738282116
hdhA,9.107495865
treR,4.207240816
guaA,2.338645574
purR,1.935466023
murA,4.854556479
pepB,0.834549574
recA,3.333007736
gatZ,2.265541017
gsiB,4.234839362
bglX,11.07217994
cysD,0.986240886
dapD,38.3238508
ihfA,6.069902207
mrp,2.795347364
eno,11.92981776
dnaN,0.427656129
oppF,9.562078038
nuoC,1.359793252
pyrG,3.685145927
yfaY,1.472111213
thiI,20.52696073
acpP,5.706893519
yajQ,4.889546083
trxB,7.262588825
yeaD,3.860486077
sbcB,4.388743211
fklB,3.718369103
fucU,67.46640364
uvrY,0.74229201
aroB,1.644219612
ppa,3.643677552
dacB,3.953913758
dppA,6.627351145
adk,3.385789082
ettA,47.15319198
sufD,1.62272857
rsmB,2.474297436
mscS,4.288550841
mnmA,20.55879422
nfuA,1.309531079
pgk,19.33779578
tehB,3.848318871
fabG,79.2916622
yoaC,0.371821616
crp,9.062144258
thrS,30.9563373
uvrA,5.927909918
gltX,37.75762334
evgA,3.347987003
pdxK,3.273039064
yiiD,0.78471345
ydbL,3.459632247
tcdA,10.20760994
polA,11.26635085
rpoE,11.17735681
pepQ,12.12441248
pheS,11.45164945
lptG,3.396813933
oppD,0.940905544
trmB,23.87213229
kdsC,1.788814803
ybaK,463.9685893
agp,4.124324782
iscS,0.799682221
fmt,7.797529517
acrA,4.429415818
dnaX,5.684445151
lolC,3.835078705
leuS,6.736128461
rbsB,3.019369573
katE,0.437340301
lipA,0.476763113
murG,48.39909584
rapZ,5.187082822
lysS,21.73256302
accB,0.158798475
cpdB,73.59999804
entF,4.945406215
lnt,13.93159532
hscB,2.59793826
cysH,0.25098886
dcyD,3.369691821
uvrB,8.693749924
