Gene,Half-life (h)
WBP2;DKFZp564D012,14.1
KPNA2;RCH1;SRP1,14.1
DKFZp547B0614;ARNT,14.1
VASN;SLITL2;UNQ314/PRO357/PRO1282,14.2
SGK196,14.2
PDLIM5;ENH;hCG_40208,14.2
TCF25;KIAA1049;NULP1;FKSG26,14.2
CDKN2A;CDKN2;MTS1,14.2
RBM5;H37;LUCA15,14.2
RBM4;RBM4A;RBM4B;RBM30,14.2
L1CAM;CAML1;MIC5,14.2
NUF2;CDCA1;NUF2R,14.3
ZYG11B;KIAA1730,14.3
SPG21;ACP33;BM-019;GL010,14.3
SDF4;CAB45;PSEC0034,14.3
MTO1;CGI-02,14.3
TTC38,14.4
ASB6;RP11-483H20.7-002;hCG_30605,14.4
SMAD5;MADH5,14.4
GLUL;GLNS;PIG43,14.4
DAB2;DOC2,14.4
LIPA,14.4
C7orf27,14.5
SERPINE2;PI7;PN1,14.5
TCEAL4;NPD017;TCEAL2;My048;MY0876G0;GHc-857G6.6-008,14.5
CCDC50;C3orf6,14.6
ENDOG,14.6
CSNK1A1;CSNK1A1L,14.7
ATF7IP;MCAF;MCAF1,14.7
TOR1B;DQ1;FKSG18;RP11-409K20.1-003,14.7
hCG_2045902;ANKHD1;KIAA1085;MASK;VBARP;PP2500,14.7
PDE2A,14.7
IFRD2,14.7
NUB1;NYREN18,14.8
TOP2A;TOP2,14.8
BRD2;KIAA9001;RING3;DAQB-22D21.2-006;DASS-219C23.1-006;XXbac-BCX136A3.4-006;XXbac-BPG181M17.2-006;DAMC-226H3.7-009;DASS-219C23.1-009;XXbac-BCX136A3.4-009;XXbac-BPG181M17.2-009,14.8
FBXO3;FBX3,14.8
HLA-G;HLA-6.0;HLAG;HLA-G2.2;DADB-15K14.8-004;DAMA-50J3.12-004;DAMC-101F5.7-004;DAQB-346J13.1-004;DASS-366B6.2-005;XXbac-BCX209H21.15-004;XXbac-BPG12I6.3-004,14.9
NR3C1;GRL,14.9
KIF4A;KIF4;KIF4B,14.9
CDKN2C;CDKN6,14.9
TMEM132A;HSPA5BP1;KIAA1583,15
FBXO21;FBX21;KIAA0875;hCG_40351,15.1
GTF2B;TF2B;TFIIB,15.1
NFKBIA;IKBA;MAD3;NFKBI,15.1
TTC33,15.1
KANK2;ANKRD25;KIAA1518;MXRA3;SIP,15.1
EXOSC10;PMSCL;PMSCL2,15.2
HLA-A,15.2
FTL,15.2
ZNF574;FP972,15.2
MET,15.2
AMFR;RNF45,15.2
HECTD1;KIAA1131,15.3
LARP4;PP13296,15.3
PBK;TOPK,15.3
APBB1;FE65;RIR,15.3
RAD21;HR21;KIAA0078;NXP1,15.3
SPG20;KIAA0610;TAHCCP1,15.4
DDX5;G17P1;HELR;HLR1,15.4
HMGCS1;HMGCS,15.4
ZNF687;KIAA1441,15.5
ACSL4;ACS4;FACL4;LACS4,15.5
DHFR;DHFRP1,15.5
ORMDL2;HSPC160;MSTP095;ORMDL1;HSPC202,15.5
NR2F1;EAR3;ERBAL3;TFCOUP1;NR2F2;ARP1;TFCOUP2;hCG_21309,15.5
JMJD2A;JHDM3A;JMJD2;KIAA0677,15.5
DNAJC15;DNAJD1;GIG22;HSD18,15.5
CABC1;ADCK3;PP265;RP5-1087E8.1-002,15.5
SMARCA1;SNF2L;SNF2L1,15.5
B4GALT1;GGTB2,15.5
DYNLT1;TCTEL1;TCTEX-1;TCTEX1;RP11-114M11.1-003;hCG_16821,15.5
ERBB2IP;ERBIN;KIAA1225;LAP2,15.6
CA12,15.6
GULP1;CED6;GULP,15.6
HERC2,15.6
SH3D19,15.7
MAGED2;BCG1;RP1-14O9.1-005;hCG_18665,15.7
TRIM32;HT2A,15.7
SPIN1;OCR;SPIN;SPIN3,15.7
UBE3A;E6AP;EPVE6AP;HPVE6A,15.7
HSPB8;CRYAC;E2IG1;HSP22;PP1629,15.7
FAM111B;CANP,15.7
GRB2;ASH,15.7
CHID1;GL008;PSEC0104;SB139,15.7
LIMCH1;KIAA1102,15.7
ATXN10;SCA10,15.7
GOPC;CAL;FIG,15.8
MLLT1;ENL;LTG19;YEATS1,15.8
EDIL3;DEL1,15.8
IGSF3,15.8
NDUFA2,15.8
SPTLC2;KIAA0526;LCB2,15.8
FOXP4;FKHLA;RP11-328M4.1-003;hCG_32870;DKFZp762O213,15.8
PDK3,15.8
CRABP2;RP11-66D17.4-002,15.9
FAM152B,15.9
AXL;UFO,15.9
TMEM131;KIAA0257;RW1,15.9
PCMTD1,16
MED12;ARC240;CAGH45;HOPA;KIAA0192;TNRC11;TRAP230,16
PDCD4;H731,16
KIAA1754,16
ATP6V1G1;ATP6G;ATP6G1;ATP6J,16
RBM42,16
C9orf105;RP11-613M10.3-002,16.1
GLG1;hCG_1980142;CFR1;ESL1;MG160,16.1
COL5A1,16.1
TPM1;C15orf13;TMSA;hCG_33495;DKFZp586K2222,16.1
SNX3,16.1
RASAL2;NGAP,16.2
CNOT6L;CCR4B;CNOT6;CCR4;KIAA1194,16.2
ZNF638;NP220;ZFML,16.2
UNG;DGU;UNG1;UNG15,16.2
GM2A,16.2
BAT2D1;KIAA1096;XTP2,16.2
DMD;hCG_1983249;dystrophin,16.2
CCDC104;UNQ163/PRO189,16.3
CNTNAP1;CASPR;NRXN4,16.3
NHP2L1,16.3
NDUFA12;DAP13,16.3
GPAM;KIAA1560;RP11-426E5.2;RP11-426E5.2-002;hCG_40975,16.3
ARL2BP;BART;BART1,16.3
PXDN;KIAA0230;MG50;PRG2;VPO;VPO1,16.3
PLXDC2;TEM7R;UNQ2514/PRO6003,16.3
SPC25;SPBC25;AD024,16.4
CSDA;DBPA,16.4
PIK3C2A,16.4
GPBP1;GPBP;SSH6,16.4
COL7A1,16.4
LGALS3BP;M2BP,16.4
HTRA1;HTRA;PRSS11,16.4
TRIM26;RNF95;ZNF173;DAAP-200B17.5-005;DADB-23P23.6-005;DAMA-361I19.5-005;DAMC-72C9.6-005;DAQB-44E15.6-005;DASS-211F20.5-005;XXbac-BCX300M20.2-005;XXbac-BPG254M11.2-005,16.4
CTNNB1;CTNNB;OK/SW-cl.35;PRO2286,16.4
UNC84B;FRIGG;KIAA0668;RAB5IP;SUN2,16.5
DAG1,16.5
SLC9A3R1;NHERF,16.5
C19orf43,16.5
RCCD1,16.5
