Protein,mRNA
353.36,14.51
64.57,7.24
96.5,11.7
87.54,14.17
472.62,10
40.93,16.07
25.04,9.09
94.05,12.67
45.35,12.64
62.18,6.7
40.97,9.39
265.98,7.31
43.86,9.02
57.45,12.65
64.83,5.9
37.52,14.62
107.63,14.53
40.25,8.78
42.01,5.7
34.06,9.01
99.12,7.83
69.15,4.96
471.64,14.4
39.65,14.17
24.13,12.08
25.09,9.4
26.92,10.51
66.47,4
171.57,15.65
66.46,12.58
68.22,11.53
104.43,8.9
58.72,8.11
557.17,11.57
109.14,12.23
30.91,10.78
399.33,10.65
44.42,10.07
83.57,5.27
79.13,7.66
33.43,6.69
70.53,7.6
67.04,9.46
219.47,12
15.56,14.42
126.36,15.08
24.42,6.84
81.7,6.43
39.77,11.44
19.85,13.21
70.86,8.7
31.41,6.17
17.81,11.61
38.92,5.72
66.12,10.15
438.95,8.53
90.93,15.17
54.74,4.67
9.35,12.95
68.64,19.79
17.28,12.04
12.97,9.2
66.69,19.79
57.12,8.93
106.31,6.45
76.31,5.42
40.61,13.63
27.42,8.2
28.55,13.31
113.36,NA
50.09,8.51
38.17,5.87
51.38,8.31
149.15,4.78
28.89,11.64
55.59,13.42
12.3,10.89
24.68,6.74
40.87,7.4
114.81,6.09
59.14,8.38
23.89,9.64
37.7,12.12
494.27,18.16
165.59,13.97
13.57,12.82
101.47,11.26
697.42,12.65
21.81,10.99
312.44,9.68
126.92,5.7
77.02,7.48
68.13,14.88
75.07,8.06
44.72,9.27
199.25,22.72
51.71,12.17
40.28,12.79
21.3,25.29
87.08,15.16
64.37,7.02
326.49,NA
278.74,5.29
6.94,4.16
14.24,8.24
32.71,10.99
96.65,9.35
16.72,13.42
28.42,11.98
71.29,6.25
143.53,10.72
67.18,4.59
65.14,4.81
2.78,40.47
67.67,12.34
142.15,19.67
91.73,10
105.68,9.27
93.51,15.04
41.75,11.79
145.06,19.02
38.24,5.09
39.23,13.51
82.96,6.54
216.71,NA
75.42,17.48
81.42,7.18
80.94,17.75
86.15,19.05
62.81,3.58
291.27,23.59
8.27,7.95
27.81,13.34
24.64,NA
56.83,9.58
66.61,11.87
72.02,NA
10.93,10.78
74.18,11.15
48.58,3.67
84.68,14.92
136.12,11.02
81.28,11.51
69.99,6.14
118.54,10.63
52.96,8.12
36.05,NA
110.74,28.35
96.68,6.49
45.74,8.8
23.78,10.1
31.68,9.98
4.22,8.53
205.46,NA
5.64,10.08
16.09,10.51
40.45,7.21
59.89,15.18
42.3,9.34
29.98,5.51
42.99,17.22
16.68,9.77
31.91,12.49
19.11,5.46
121.81,13.22
25.59,22
29.64,13.95
174.41,11.29
46.76,11.25
81.37,6.48
247.08,NA
71.84,15.27
85.08,8.31
169.83,20.99
191.64,NA
23.26,7.67
46.82,2.29
54.21,5.18
39.83,11.46
60.38,7.12
58.59,29.46
6.35,22.29
267.68,21.75
100.64,13.59
28.19,16.49
38.29,8.84
33.95,4.48
54.24,10.05
36.41,12.96
57.34,5.92
52.63,9
16.93,12.48
29.36,9.4
166.26,10.76
50.4,13.49
112.77,1.61
281.76,11.35
120.13,15.2
25.34,11.1
64.26,20.24
15.71,8.12
12.6,8.64
42.89,10.01
29.44,NA
90.4,9.17
26.44,12.46
69.07,5.52
53.28,10.03
48.42,9.55
5.19,8.45
19.12,6.92
41.73,6.78
94.48,7.31
101.74,8.34
108.84,13.64
14.22,10.29
21.43,10.26
32.97,16.8
93.7,11.63
137.68,12
63.99,9.98
42.9,6.29
43.54,9.85
143.55,11.92
89.91,15.01
28.02,14.58
2269.2,17.79
44.8,14.68
42.19,20.89
1.31,14
33.17,5.63
87.68,9.19
140.66,8.27
90.74,12.85
64.56,12.22
7.66,5.69
29.05,6.37
48.68,10.31
14.78,11.02
21.67,15.34
249.4,12.04
13.08,10.98
23.68,11.42
125.27,NA
23.61,6.45
25.45,10.67
25.16,9.92
60.25,9.14
32.94,10.86
91.46,NA
74.46,7.18
97.26,8.68
93.71,11.15
34.2,12
142.91,5.43
111.05,13.68
22.49,10.72
82.52,26.13
71.64,3.34
22.52,11.14
54.39,10.2
125.91,20.11
16.85,11.46
66.94,9.26
32.96,7.52
24.08,7.3
287.94,10.78
20.79,11.94
121.84,8.96
8.34,13.65
45.92,5.63
212.42,8.92
131.36,6.68
40.41,14.94
20.28,6.35
8.45,9.25
134.98,18.64
5.11,5.84
125.99,13.42
71.2,11.17
38.52,8.8
538.6,7.7
31.46,25.89
68.48,NA
23.15,3.81
166.06,NA
481.68,7.26
24.03,12.82
59.13,16.7
10.25,14.29
53.25,9.9
0.62,28.31
158.95,8.8
21.22,4.81
36.63,8.07
5.57,5.36
122.55,13.97
48.42,11.5
42.66,NA
30.52,6.68
160.44,5.07
47.21,NA
32.76,NA
98.71,10.07
361.84,8.44
40.33,8.26
64.59,7.94
64.62,15
21.54,16.24
82.09,10.44
215.82,12.55
66.87,10.11
54.26,6.7
42.37,22.73
7.9,19.26
51.42,11.78
60.86,9.64
71.86,10.15
25.24,10.63
22.55,7.25
34.73,7.16
81.77,10.43
79.71,6.1
81.91,10.79
6.34,12.86
44.55,3.98
150.6,8.59
70.76,16.32
37.53,25.51
24.28,13.33
84.88,5.77
12.02,9.72
13.73,2.51
45.56,4.91
4.46,18.48
55.4,5.64
38.94,14.6
49.75,5.69
180.13,6.85
23.61,15.21
108.13,16.03
35.67,8.55
102.28,7.62
410.3,11.31
12.35,17.58
30.67,13.81
40.92,16.42
87.32,16.31
25.51,9.11
92.83,6.13
28.11,8.88
73.61,12.37
15.69,14.5
69.81,7.77
28.6,11.46
80.55,3.12
20.42,6.15
66.58,5.74
54.23,8.42
14.27,13.03
61.24,7.81
119.47,7.13
28.8,20.23
15.88,7.7
113.88,6.98
52.92,8.65
23.38,10.18
105.47,14.81
111.79,6.48
189.45,18.85
364.83,12.73
13.26,21.2
10.35,4.64
276.9,12.1
207.36,7.04
56.19,9.31
70.8,9.52
121.02,12.93
60.4,6.92
136.89,12.71
83.6,NA
19.69,8.53
48.5,6.9
192.74,16.58
237.75,5.94
112.12,3.26
28.39,6.28
72.67,9.54
61.7,12.41
6.91,20.3
66.67,10.38
18.94,13.51
19.54,9.42
10.96,4.92
131.53,10.74
55.83,8.76
42.38,NA
139.97,7.88
61.47,10.33
24.56,8.65
86.69,12.2
28.76,6.95
43.42,11.23
9.47,7.61
15.05,10.65
24.34,11.74
46.9,13.48
17.17,11.69
94.65,14.19
51.36,9.67
55.72,20.49
80.32,6.61
34.46,11.4
38.36,NA
35.8,11.94
45.32,7.5
7.68,15.82
95.42,11.95
84.37,10.41
14.34,12.55
38.4,12.01
66.99,13.81
59.94,6.67
64.92,3.52
37.85,9.57
61.41,6.88
117.95,17.16
29.57,NA
98.78,6.15
28.29,11.86
84.67,4.24
54.01,10.44
19.46,9.5
28.71,8.57
76.65,NA
15.21,10.05
19.65,2.79
147.92,30.01
53.48,12.06
55.21,7.03
22.91,9.47
33.3,24.81
28.45,8.28
688.01,10.12
22.94,7.74
54.85,7.63
67.68,7.55
41.8,8.75
86.68,3.87
25.57,9.32
36.67,8.63
105.71,4.98
65.08,11.75
42.08,16.07
38.64,13.75
43.33,11.25
86.81,15.36
79.96,10.76
147.36,NA
43.56,12.5
52.02,9.1
41.97,8.57
4.09,9.69
180.87,13.49
45.53,27.66
63.51,10.25
60.88,8.45
194.01,13.33
42.83,19.61
33.11,7.29
408.95,8.9
26.32,7.96
51.27,9.38
18.65,15.92
75.3,10.04
91.25,NA
104.16,11.58
22.36,5.81
40.21,12.27
79.15,12.03
14.28,13.3
31.76,13.12
98.91,8.84
70.1,13.06
111.14,15.35
26.28,4.63
44.97,6.56
33.64,13.61
108.45,8.03
34.61,17.52
15.99,7.95
89.86,5.11
51.4,12.45
7.99,12.86
68.74,14.6
200.53,11.39
60.88,9.81
35.56,8.56
89.29,6.78
32.61,4.51
131.9,12.1
60.89,10.45
45.91,9.55
61.88,6.66
48.62,3.87
57.17,14.56
73.53,11.66
38.19,16.3
48.58,11.08
42.11,11.83
80.51,5.16
90.72,11.84
17.88,9.98
13.76,6.29
24.53,18.59
47.63,14.67
42.96,6.95
6.62,21.16
36.69,3.94
30.55,6.55
13.14,5.7
88.04,10.82
40.56,12
25.55,8.32
6.3,10.65
12.6,7.81
47.03,12.89
31,5.53
60.24,6.45
13.35,4.03
79.66,17.75
32.58,3.51
50.98,17.03
75.97,10.61
84.23,6.04
82.29,7
7.89,6.66
50.6,12.69
325.87,4.32
64.05,13.06
117.01,12.98
52.05,9.06
68.11,NA
64.96,10.09
75.2,13.5
11.71,18.15
27.06,7.87
113.78,15.04
88.66,15.19
20.19,15.4
30.21,11.79
160.09,5.49
259.84,17.57
31.03,6.5
42.76,10.59
63.98,14.96
2292.3,4.13
72.58,6.62
80.9,13.79
31.67,9.18
28.17,8.42
32.71,15.46
58.86,6.43
129.05,5.44
9.35,6.05
42.72,16.27
43.98,6.02
114.74,10.11
8.89,19.15
30.39,12.91
5.22,9.43
46.59,11.51
96.76,4.61
4.07,7.11
10.8,NA
42.58,5.09
2.91,16.05
17.56,8.49
108.81,24.39
31.88,8.05
70.92,6.65
72.06,9.38
105.01,13.99
336.13,11.27
13.52,16.57
363.78,12.99
63.16,6.75
16.85,4.68
19.71,4.5
22.97,8.69
737.17,24.27
137.51,8.43
20.21,10.26
12.29,12.87
52.29,9.79
23.47,5.58
93.82,19.09
59.03,13.1
42.15,10.06
30.73,8.53
34.03,5.72
27.68,9.91
73.46,9.79
95.55,7.75
10.67,12.72
61.28,24.36
119.95,21.22
18.21,5.54
27.24,14.52
52.86,9.56
113.98,NA
23.53,7.93
167.26,11.64
37.23,10.62
53.87,7.07
41.89,10.01
93.54,13.17
62.73,7.46
39.74,16.47
151.54,NA
28.38,7.62
32.34,9.78
32.89,6.78
28.52,17.49
69.49,7.52
29.51,7.96
50.64,32.66
14.79,6.89
82.65,NA
202.71,12.51
213.34,26.22
51.15,9.11
18.56,8.83
26.16,7.99
90.8,13.17
141.21,13.63
49.84,8.69
14.38,NA
75.19,10.64
83.08,NA
57.69,24.06
28.61,4.32
37.84,19
20.96,20.52
49.16,10.89
38.4,9.69
14.16,12.03
65.64,NA
8.22,9.67
23.88,5.82
152.4,7.62
103.72,12.44
16.05,6.05
42.98,16.76
106.68,6.93
59.78,5.07
39.04,NA
28.1,5.72
79.1,5.5
105.3,14.02
72.76,16.07
39.39,3.93
62.99,9.52
203.82,7.91
42.4,12.61
38.16,4.26
47.69,12.36
14.63,18.54
64.25,16.25
59.35,5.07
68.19,8.69
335.66,9.7
131.04,4.88
30.43,5.29
47.74,8.54
28.98,6.17
53.76,6.81
5.73,11.55
13.76,9.28
60.82,14.19
10.7,8.92
147.63,7.35
162.26,7.56
43.51,17.44
45.3,9.52
12.57,5.94
21.97,5.29
49.66,9.98
57.68,7.04
30.2,5.66
56.09,3.12
76.13,NA
12.52,15.59
24.58,7.82
26.55,22.58
294.33,15.52
11.27,25.54
54.01,15.94
61.26,8.31
21.47,9.87
18.8,8.89
293.46,27.08
55.62,13.72
94.62,8.52
31.2,13.24
350.79,6.32
21.62,21.39
21.2,18.45
44.07,6.97
62.52,6.6
16.3,NA
9.73,12.83
144.13,10.14
71.62,9.07
35.28,6.05
7.82,15.91
172.02,9.34
40.94,31.35
132.98,7.72
39.21,8.34
22.59,5.09
24.18,11.49
164.06,17.24
138.34,6.6
47.56,6.77
73.98,5.81
12.7,6.88
18.06,4.06
154.33,9.14
23.98,20.04
13.46,6.56
72.06,10.72
54.15,4.94
28.44,4.62
13.9,NA
37.07,4.82
65.14,10.12
44.54,9.82
144.56,5.8
12.39,9.68
211.24,17
15.12,10.94
38.04,23.6
94.52,6.47
33.1,NA
10.85,6.11
34.82,20.67
97.46,6.54
80.46,8.51
214.93,7.34
7.12,8.45
92.98,8.36
84.76,9.58
55.15,11.89
101.6,6.6
19.38,4.56
67.83,9.57
15.43,10.32
5.05,10.14
31.64,12.55
40.68,8.71
83.34,7.29
34.81,14.4
41.05,24.68
180.58,5.3
50.21,NA
66.04,12.94
17.08,11.38
20.6,11.82
2.34,34.19
44.49,12.19
62.48,21.49
90.34,12.83
374.33,6.31
79.68,5.39
47.94,9.73
5.09,8.74
47.86,5.22
98.95,6.98
95.87,9.85
47.4,5.99
48.76,4.97
22.55,6.14
47.67,5.17
88.69,11.51
52.02,13.77
130.99,8.49
87.96,12.33
126.28,6.86
155,15.7
91.72,8.59
19.6,11.95
155.34,10.09
64.28,6.79
41.28,7.26
14.9,9.89
374.4,23.41
86.13,12.22
8.79,17.16
39.33,5.98
50.58,13.11
66.07,14.4
54.39,12.64
74.73,9.7
41.73,11.51
23.03,10.62
23.79,7.61
41.31,17.35
25.42,6.2
24.58,8.87
12.84,11.02
131.16,15.44
23.92,9.62
23.61,17.03
33.83,22.92
29.1,18.83
5.75,11.07
71.47,6.36
34.69,8.56
63.83,15.97
62.31,NA
42.56,11
31.98,5.36
40.26,5.65
18.7,3.92
128.15,9.09
51.12,7.37
18.13,4.86
155.84,9.31
30.72,3.44
73.76,22.07
36.03,10.61
138.33,NA
34.75,16.96
47.27,8.21
20.78,7.18
112.16,3.44
57.44,6.73
69.03,NA
68.11,6.07
103.87,8.47
43.15,7.91
25.17,14.99
54.62,16.4
13.28,6.41
25.92,12.88
91.03,12.28
6.25,5.59
40.96,5.62
32.46,6.39
13.7,4.26
13.67,9.12
8.37,NA
1.69,16.38
20,16.24
121.74,13.04
14.96,10.84
90.07,9.78
64.1,10.19
125.23,5.46
67.55,19.91
26.11,5.66
58.76,7.37
116.94,12.47
48.97,5.37
40.22,5.36
29.11,5.17
27.36,4.7
46.37,9.37
67.94,9.34
58.51,5.04
220.42,NA
26.19,10.17
25.17,3.72
46.16,11
23.55,4.89
2.25,16.35
22.08,5.82
85.87,11.56
37.11,10.06
62.67,8.61
16.23,13.21
17.36,25.39
65.13,NA
142.73,4.47
64.44,12.69
22.25,8.78
158.45,6.27
42.71,NA
30.61,12.87
147.9,9.15
43.96,11.69
149.7,16.52
16.18,11.04
10.49,13.3
7.52,18.26
117.94,8.33
1667.8,4.14
29.54,7.92
28.64,6.29
5.34,6.72
21.77,12.16
16.13,8.01
87.14,17.86
49.44,7.24
108.64,17.45
7.75,7.54
91.53,11.84
572.89,4.79
72.08,21.4
108.27,14.43
5.32,14.92
132.3,20.11
49.3,9.47
78.22,NA
145.59,NA
52.87,12.72
86.99,8.47
11.5,11.56
68.83,8.83
69.28,6.92
13.78,5.24
6.84,13.96
39.75,10.43
21.08,9.35
39.73,8.37
89.04,2.21
172.16,6.05
39.99,9.14
35.32,8.61
11.27,5.7
115.57,NA
64.41,12.02
125.26,NA
22.76,2.8
169.23,6.33
19.95,26.6
60.69,11.02
9.94,NA
101.11,12.67
267.57,14.62
17.19,6.55
9.15,16.31
52.97,8.15
47.94,4.69
11.18,4.75
67.95,21.54
35.62,4.77
27.64,11.6
29.1,7.76
14.65,8.93
35.92,10.28
126.93,6.29
58.7,9.39
5.24,9.29
85.97,17.08
42.42,5.02
26.35,4.41
17.28,8.99
45.49,7.51
119.1,NA
62.46,13.27
7.96,5.42
106.62,10.97
30.24,9.15
107.33,NA
70.21,7.76
129.93,10.76
127.78,18.73
29.9,9.49
34.18,6.06
164.21,15.83
58.36,10.74
9.31,4.24
33.91,5.83
50.21,8.84
254.48,15.8
13.1,37.54
68.38,13.75
270.56,4.1
31.59,12.89
26.98,5.69
63.7,14.04
103.09,8.13
4806.6,NA
13.25,10.35
73.86,NA
295.86,13.26
66.79,10.46
10.8,25.82
2.05,NA
21.72,6.46
14.58,8.31
9.8,NA
32.52,8.75
74.1,4.91
92.2,7.44
91.69,15.64
78.64,5.26
135.01,6.79
32.05,7.53
8.23,32.69
69.45,7.05
16.58,5.54
79.69,15.54
41.73,6
32.37,7.75
4.74,NA
91.31,10.43
89.93,11.28
86.44,8.29
20.11,6.59
68.39,9.84
40.66,9.47
54.46,10.76
72.47,37.18
54.48,16.37
31.92,13.34
123.21,16.79
261.33,19.5
50.83,17.22
8.21,11.88
44.18,7.78
50.17,9.1
32.65,5.06
39.59,5.26
20.55,8.03
28.52,9.31
12.51,13.93
43.55,8.1
16.21,10.24
28.73,14.32
112.79,NA
40.26,NA
84.96,11.13
42.73,NA
9.94,9.38
55.38,5.11
75.48,13.1
49.59,21.85
102.14,11.11
37.61,13.46
26.75,4.96
16.8,8.53
15.7,12.77
35.56,6.03
60.46,6.66
52.7,8.86
45.14,7.23
19.48,7.89
45.67,10.87
71.69,6.37
39.86,4.59
59.12,6.04
87.54,15.21
53.7,4.44
90.15,12.2
41.59,10.69
7.63,4.1
96,NA
37.87,4.89
17.21,8.15
99.67,NA
144.78,14.73
84.77,6.03
56.6,15.13
69.68,12.88
87.16,11.33
30.8,10.74
110.32,16.06
69,NA
296.54,NA
58.74,6.99
19.02,11.51
20.75,9.86
23.08,NA
8.49,6.73
27.13,7.28
22.04,10.7
55.37,12.04
31.57,10.32
42.71,6.67
21.63,6.3
21.68,8.11
225.62,10.56
9.62,12.64
94.48,7.4
25.77,18.33
49.79,12.35
10.11,12.71
26.06,13
58.78,15.25
4.39,20.69
25.25,10.85
86.49,9.75
41.92,10.91
53.32,6.08
29.53,16.31
12.9,6.55
74.01,8.09
20.15,13.21
53.84,6.15
95.66,10.85
67.34,7.02
21.69,NA
7.2,NA
120.4,19.81
70.69,9.31
9.35,5.1
6.49,11.38
26.44,14.7
6.78,7.1
36.5,9.54
91.18,6.01
25.5,9.18
47.77,13.49
30.9,8.86
14.91,6.5
7.5,12.22
21.74,12.63
56.77,9.94
16.6,NA
51.25,5.68
169.17,3.88
20.93,18.6
20.81,6.1
48.5,8.5
28.02,10.19
24.2,7.48
78.6,12.81
43.82,8.86
207.32,4.98
21.05,11.46
9.41,10.03
19.29,10
416.09,13.49
9.68,15.41
82.28,7.9
65.32,NA
12.78,8.33
76.31,9.9
47.33,7.67
76.45,5.18
23.44,15
15.05,4.78
25.4,10.24
48.08,10.14
16.86,7.83
109.36,9.33
57.36,10.32
0.76,15.75
5.32,9.04
103.16,NA
28.9,6.92
14.84,9.03
69.53,7.26
59.39,12.01
42.46,8.31
27.24,12.86
26.36,10.46
31.55,13.2
61.86,4.63
52.13,10.1
19.97,13
29.41,NA
70.03,8.63
240.22,13.88
105.02,11.27
53.81,13.99
14.34,7.04
121.12,15.39
6.74,8.73
36.2,9.46
34.46,9.38
18.56,15.42
33.07,14.38
12.43,7.15
93.15,9.05
20.07,10.79
264.49,11.53
72.81,2.87
27.89,NA
51.17,10.33
94.27,13.94
208.21,18.74
41.99,8.43
44.83,14.48
137.95,6.89
181.26,4.55
88.59,10.96
38.69,8.33
89.94,8.81
530.71,16.06
223.61,21.45
181.96,10.32
36.52,5.25
37.1,5.33
10.6,11.21
362.05,15.11
61.27,14.78
100.48,6.6
194.83,11.92
56.03,9.33
23.03,9.15
40.02,18.37
71.19,3.81
41.72,8.43
17.82,13.71
170.92,9.69
147.66,22.05
92.97,13.56
68.58,9.99
43.4,9.94
194.8,NA
6.47,10.78
56.28,20.34
49.47,4.19
34.86,5.44
109.85,15.2
5.03,21.1
4.83,7.93
189.31,NA
4.16,12.69
47.06,10.98
15.51,11.1
78.63,14.25
16.49,25.38
88.88,11.12
68.01,9.4
1186,12.66
36.97,NA
110.24,7.54
6.22,11.48
23.46,26.88
157.79,9
17.29,12.78
92.76,4.68
62.2,4.63
41.7,16.61
19.37,9.92
20.77,10.34
28.62,3.84
48.87,11.02
146.73,10.59
3295.4,8.87
50.15,5.24
51.9,3.67
25.59,NA
36.04,13.53
15.67,9.18
340.39,3.89
57.02,9.04
56.49,11.1
88.94,NA
17.02,5.8
988.93,9.05
216.43,NA
46.2,9.17
18.92,4.66
63.7,11.9
31.31,11.12
76.66,7.36
87.5,13.25
15.68,10.58
31.1,9.04
49.62,9.63
19.39,9.65
97.63,6.73
13.96,13
47.39,4.8
86.25,7.22
328.58,13.19
31.38,5
46.28,7.06
31.95,6.49
12.11,14.25
44.53,8.69
26.79,11.82
39.3,5.78
34.6,15.46
51.58,9.36
22.35,10.85
204.16,8.99
39.45,NA
0.74,3.2
29.12,4.13
50.47,8.3
35.24,14.66
31,4.47
141.68,3.14
23.97,NA
7.36,4.95
39.33,5.22
27.79,15.99
108.11,6.6
269.91,8.2
117.97,NA
46.44,NA
24.68,9.3
43.41,6.63
12.6,13.41
47.94,10.98
79.25,10.04
38.47,5.4
39.15,6.62
46.06,NA
55.41,8.35
39.95,14.88
21.19,7.71
7.85,6.45
19.68,6.45
16.64,18.21
13.26,15.6
28.49,8.44
107.86,3.98
59.03,4.69
119.93,4.49
91.3,11.55
76.36,7.55
29.54,12.09
295.93,6.85
60.52,7.11
14.05,13.26
14.42,10.86
159.75,14.41
412.49,7.4
16.82,16.5
100.22,NA
152.53,14.6
14.72,2.93
9.5,8.78
61.18,9.2
49.77,5.48
15.41,7.49
27.57,13.9
174.26,21.55
5.36,20.11
78,9.88
27.62,NA
96.19,10.87
94.83,3.83
125.87,NA
21.65,32.78
30.03,9.51
16.97,9.41
65.82,4.67
57.17,6.56
17.63,4.01
42.57,9.38
33.08,9.49
4.33,8.51
15.8,8.54
55.81,11.87
173.47,15.19
24.71,3.17
355.74,10.46
28.99,3.87
26.95,NA
26.24,4.34
8.23,7.68
40.02,7.48
253.94,17.78
34.67,9.29
42.98,9.05
32.51,14.64
40.56,8.73
15.25,6.52
47.27,7.63
13.56,9.52
41.03,18.68
6.67,11.47
39.11,9.23
11.67,14.44
34.33,13.78
45.92,5.06
34.33,8.34
32.87,5.17
30.12,7.85
66.63,15.28
43.42,6.93
47.62,4.22
92.82,5.32
10.32,9.17
8.19,14.36
5.85,15.69
29.13,8.95
98.41,9.54
15.1,11.71
19.15,7.7
10.7,5.97
361.35,13.33
44.42,7.63
71.53,11.06
47.49,12.5
4.9,10.99
97.22,12.77
43.79,17.22
98.95,13.69
26.39,6.25
9.69,8.08
49.78,10.83
9.82,NA
21.93,3.76
107.4,9.06
2728.65,4.1
48.48,12.41
114.28,9.86
21.33,12.49
10,4.15
74.29,11.21
14.37,8.78
13.2,16.02
28.73,10.98
26.47,3.65
22.83,7.91
56.53,4.27
84.74,6.69
17.07,6.26
65.04,13.62
15.49,7.38
62.27,NA
82.3,7.75
12.12,4.18
37.89,4.79
16.51,6.34
65.57,14.19
52.99,11.82
31.19,31.87
31.77,5.99
110.61,4.5
84.42,6.23
60.42,7.6
16.95,8.39
207.86,NA
35.33,4.49
78.5,8.26
46.99,19.37
47.72,5.74
48.82,13.08
7.54,10.81
109.34,4.97
15.42,11.86
157.2,7.33
20.35,5.83
25.36,9.93
45.03,10.48
20.4,6.33
17.59,16.52
30.04,7.55
76.78,8.06
4.83,7.94
83.51,3.4
112.79,4.03
29.45,12.97
100.39,8.01
14.75,5.95
153.24,12.18
22.59,5.79
12.96,12.58
7.25,22.71
32.72,4.38
59.63,22.03
40.99,11.34
3.81,NA
23.43,8.11
32.6,16.29
64.78,5.19
9.61,10.95
17.77,NA
12.47,9.3
28.23,6.46
38.92,8.91
186.88,6.33
132.77,16.74
77.12,15.33
34.43,5.75
11.16,12.74
13.83,5.69
14.47,9.67
36.13,7.69
24.7,10.6
13.96,9.73
120.33,14.63
25,6.45
156.92,11.1
73.99,8.31
172.46,11.97
174.81,13.19
179.24,NA
454.88,13.38
12.57,12.84
12.81,15.89
641.81,17.53
35.26,6.26
42.77,4.46
21.22,6.26
10.77,8.45
86.73,19.02
10.91,29.65
38.31,8.85
291.91,9.97
77.98,11.99
36.89,6.76
20.68,15.51
7.2,5.95
23.14,8.35
99.77,20.14
32.05,6.5
88.62,8.15
56.54,10.27
79.39,10.45
112.32,7.85
23.15,8.08
50.26,NA
6.26,9
119.92,NA
30.74,6.06
32.14,10.91
15.15,8.04
21.44,4.67
80.29,14.18
12.84,9.7
17.42,5.68
29.85,5.78
18.82,5
187.7,8.26
25.31,5.87
21.89,5.81
34.87,9.02
65.11,5.16
10.46,5.84
36.6,7.89
12.99,10.87
48.82,9.55
8.25,11.39
78.83,8.3
16.56,9.01
194.68,4.77
20.07,8.44
29.94,14.02
26.24,13.7
178.72,5.71
12.6,11.01
11.24,9.09
156.47,6.75
68.12,9.89
8.4,19.44
8.8,16.03
21.95,14.24
51.84,6.06
57.6,5.98
88.1,9.68
45.44,6.98
112.56,6.02
5.58,2.93
40.88,5.42
50.95,3.18
52.63,4.65
14.45,12.98
45.08,13.37
261.02,8.6
31.28,15.18
104.73,NA
54.04,6.85
18.43,10.28
25.3,5.12
24.53,5.31
40.84,4.46
74.38,15.03
34.68,13.72
30.18,3.62
86.82,13.47
15.16,12.89
52.63,12.46
14.62,8.81
54.37,5.52
34.96,15.47
35.68,8.81
45.59,9.93
9.08,NA
12.67,7.16
34.02,11.04
13.44,4.85
14,7.93
124.9,3.69
27.49,4.71
23.77,17.73
7.43,5.23
19.53,13.42
79.2,7.55
13.62,9.77
45.11,NA
285.38,NA
46.92,5.26
67.28,7.87
37.25,12.7
62.66,10.87
36.43,8.53
67.63,7.5
52.36,18.3
12.52,9.58
57.32,10.34
17.33,8.62
28.01,7.53
21.75,14.17
23.9,10.88
8.62,10.58
21.38,10.05
19.64,11.27
25.85,16.39
67.69,6.75
30.41,8.15
22.34,14.62
69.72,7.03
29.67,6.95
73.36,14.38
62.17,9.55
9.31,4.65
22.39,4.44
25.62,9.16
23.43,7.51
26.47,6.84
73.39,11.03
142.77,13.84
22.47,NA
19.68,6.21
7.65,14.08
21.19,5.2
43.62,3.98
15.18,18.75
53.34,7.23
82.04,8.61
59.36,14.56
81.22,6.31
64.14,11.68
15.33,9.52
159.96,NA
4.8,3.79
5.4,8.84
104.26,NA
55.7,10.17
48.91,7.29
5.41,12.14
115.39,13.33
41.74,14.88
141.51,13.01
0.93,4.03
66.46,7.87
19.93,7.12
12.03,12.31
13.78,4.89
30.35,20.16
19.5,8.32
19.57,5.98
6.45,14.48
42.44,11.82
33.7,4.74
36.1,7.33
20.5,3.61
62.61,9.38
6.19,10.05
41.05,4.18
13.21,19.23
82.27,18.64
72.82,11.5
68.94,10.88
27,7.83
51.96,6.88
79.32,7.61
11.96,5.6
12.98,8.6
53.22,9.28
21.34,8.19
83.03,14.13
50.18,7.51
9,15.73
10.88,9.49
41.04,7.44
15.06,18.37
71.22,9
36.77,2.95
31.57,9.08
107.96,4.86
9.33,12.28
207.28,16.02
36.55,3.24
13.1,8
12.56,6.98
27.8,10.36
18.22,5.45
47.33,8.47
44.75,10.43
21.01,3.84
29.91,NA
11.22,NA
57.67,8.45
13.7,5.94
73.58,9
40.48,5.54
57.82,5.31
47.56,12.48
32.15,6.75
31.47,8.11
13.74,6.23
34.16,7.14
162.41,10.85
12.99,9.63
97.57,7.72
23.57,5.18
222.53,5.34
62.25,7.16
20.62,7.06
74.17,12.14
140.99,NA
29.1,16.49
40.14,8.62
32.17,5.1
6.9,6.16
108.37,NA
77.23,11.11
16.83,6.97
75.1,11.13
12.64,5.46
27.23,8.88
14.04,7.11
28.49,8.09
186.4,18.24
107.19,4.64
7.65,NA
11.77,10.27
20.17,6.7
147.37,6.36
10.34,11.14
41.03,7.01
21.16,8.16
69.1,7.68
10.9,23.23
100.79,6.74
12.6,8.1
81.66,4.44
78.5,13.74
28.83,12.1
691.84,9.3
31.84,9.34
36.82,4.37
41.26,7.66
36.3,6.03
52.46,NA
5.04,4.92
107.53,16.95
31.51,7.01
26.59,3.07
160.06,7.9
124.18,11.55
38.77,5.32
132.28,17.33
122.06,NA
33.15,9.24
476.88,9.56
77.94,NA
12.37,7.51
67.49,8.16
46.1,7.11
30.64,9.46
21.98,9.36
49.01,10.02
21.55,14.26
54.99,12.63
55.46,10.01
20.09,7.75
9.54,7.58
34.81,9.85
