Gene,Half-life (h)
YBR266C,0.183333333
YBR267W,1.933333333
YBR268W,5
YBR271W,1.333333333
YBR272C,0.25
YBR273C,0.783333333
YBR274W,0.5
YBR278W,19.36666667
YBR279W,1.95
YBR281C,0.933333333
YBR282W,2.2
YBR286W,0.15
YBR287W,0.483333333
YBR288C,1.316666667
YBR289W,0.05
YBR290W,0.8
YBR299W,0.7
YBR302C,0.133333333
YCL005W,0.7
YCL008C,0.766666667
YCL009C,1.75
YCL010C,0.7
YCL011C,1.016666667
YCL014W,0.133333333
YCL016C,1.05
YCL024W,0.366666667
YCL025C,0.316666667
YCL028W,0.85
YCL029C,1.283333333
YCL031C,1.683333333
YCL032W,0.65
YCL033C,5
YCL035C,5
YCL039W,0.383333333
YCL040W,2.366666667
YCL043C,0.133333333
YCL044C,1.65
YCL045C,0.8
YCL047C,3.5
YCL049C,0.316666667
YCL050C,2.033333333
YCL052C,5
YCL055W,0.283333333
YCL056C,0.616666667
YCL057W,1.05
YCL059C,3.183333333
YCL061C,1.633333333
YCL063W,0.516666667
YCL064C,1.166666667
YCR003W,3.75
YCR005C,0.5
YCR008W,0.2
YCR009C,0.833333333
YCR011C,5
YCR012W,3.316666667
YCR016W,1.133333333
YCR017C,11.48333333
YCR018C,0.033333333
YCR020C,1.083333333
YCR020W-B,0.5
YCR023C,0.8
YCR024C,0.45
YCR026C,0.183333333
YCR027C,0.566666667
YCR030C,5
YCR031C,0.666666667
YCR034W,5
YCR035C,1.633333333
YCR036W,1.016666667
YCR037C,0.166666667
YCR038C,2.033333333
YCR039C,1.783333333
YCR042C,2.266666667
YCR043C,0.45
YCR044C,5
YCR046C,3.9
YCR047C,0.733333333
YCR048W,0.6
YCR052W,0.566666667
YCR053W,2.466666667
YCR054C,1.45
YCR057C,5
YCR059C,0.7
YCR060W,0.783333333
YCR063W,0.433333333
YCR065W,0.25
YCR066W,0.366666667
YCR067C,1.033333333
YCR068W,0.2
YCR069W,0.683333333
YCR071C,3.166666667
YCR073W-A,0.75
YCR075C,0.116666667
YCR077C,0.25
YCR079W,1.116666667
YCR081W,0.683333333
YCR082W,0.35
YCR083W,2.916666667
YCR084C,0.45
YCR087C-A,1.95
YCR088W,0.3
YCR090C,0.133333333
YCR092C,0.35
YCR093W,0.883333333
YCR094W,0.783333333
YCR095C,1.733333333
YDL001W,0.033333333
YDL002C,0.9
YDL005C,0.633333333
YDL006W,5
YDL007W,0.283333333
YDL008W,0.183333333
YDL010W,0.033333333
YDL012C,5.333333333
YDL013W,0.283333333
YDL015C,0.983333333
YDL017W,0.583333333
YDL018C,5
YDL019C,0.25
YDL020C,0.05
YDL021W,0.783333333
YDL022W,4.166666667
YDL025C,0.533333333
YDL027C,0.366666667
YDL028C,0.05
YDL029W,5
YDL030W,0.35
YDL033C,0.733333333
YDL035C,0.516666667
YDL036C,2.15
YDL040C,1.083333333
YDL042C,0.35
YDL043C,1.8
YDL045C,19.95
YDL046W,0.1
YDL047W,0.566666667
YDL048C,0.033333333
YDL052C,2.3
YDL053C,0.733333333
YDL056W,0.333333333
YDL058W,1.1
YDL059C,0.383333333
YDL060W,0.45
YDL061C,5
YDL063C,0.583333333
YDL064W,1.433333333
YDL065C,0.933333333
YDL067C,5
YDL069C,2
YDL070W,0.15
YDL074C,1.016666667
YDL078C,1.066666667
YDL080C,0.55
YDL082W,0.5
YDL084W,0.283333333
YDL085C-A,1.216666667
YDL085W,0.8
YDL087C,5
YDL088C,0.533333333
YDL089W,0.45
YDL090C,1.083333333
YDL091C,0.116666667
YDL092W,5
YDL095W,2.85
YDL097C,0.85
YDL098C,0.583333333
YDL099W,1.05
YDL100C,0.316666667
YDL101C,1.7
YDL103C,1
YDL104C,2.166666667
YDL105W,0.416666667
YDL106C,0.8
YDL108W,5.6
YDL109C,0.25
YDL110C,0.316666667
YDL111C,5
YDL112W,0.3
YDL113C,0.916666667
YDL115C,0.666666667
YDL116W,3.833333333
YDL117W,0.683333333
YDL119C,7.15
YDL120W,5
YDL121C,5
YDL122W,0.633333333
YDL123W,1.05
YDL124W,0.916666667
YDL125C,4.45
YDL126C,0.566666667
YDL128W,0.583333333
YDL130W,6.583333333
YDL131W,7.5
YDL134C,0.75
YDL135C,5
YDL136W,2.366666667
YDL137W,1.883333333
YDL138W,0.05
YDL139C,0.466666667
YDL140C,0.366666667
YDL141W,0.383333333
YDL143W,2.083333333
YDL144C,2.416666667
YDL145C,1.533333333
YDL146W,0.05
YDL147W,1.45
YDL149W,0.033333333
YDL150W,0.516666667
YDL155W,0.333333333
YDL156W,1.883333333
YDL157C,0.616666667
YDL159W,0.233333333
YDL160C,2.933333333
YDL161W,0.65
YDL165W,5
YDL166C,275.2166667
YDL167C,0.333333333
YDL168W,0.8
YDL170W,0.366666667
YDL171C,1.016666667
YDL173W,1.2
YDL174C,1.016666667
YDL175C,0.5
YDL176W,0.05
YDL177C,1.833333333
YDL178W,0.633333333
YDL181W,0.733333333
YDL182W,3.1
YDL184C,0.566666667
YDL185W,1.816666667
YDL188C,1.016666667
YDL189W,0.416666667
YDL190C,5
YDL192W,5
YDL195W,0.433333333
YDL197C,0.4
YDL201W,154.7833333
YDL202W,5
YDL203C,0.4
YDL204W,3.216666667
YDL205C,5
YDL207W,0.516666667
YDL209C,1.25
YDL212W,1.583333333
YDL213C,5
YDL216C,0.4
YDL219W,7.766666667
YDL220C,0.7
YDL222C,1.233333333
YDL225W,1.266666667
YDL226C,1.816666667
YDL227C,0.033333333
YDL229W,2.483333333
YDL230W,0.183333333
YDL233W,0.75
YDL234C,1.283333333
YDL235C,1.783333333
YDL238C,2.866666667
YDL240W,1.033333333
YDL241W,0.216666667
YDR001C,0.5
YDR003W,1.3
YDR004W,0.566666667
YDR005C,0.516666667
YDR007W,0.866666667
YDR009W,0.3
YDR012W,5
YDR013W,1.116666667
YDR014W,0.25
YDR016C,1.333333333
YDR017C,0.316666667
YDR019C,1.583333333
YDR020C,0.45
YDR021W,0.766666667
YDR022C,2.75
YDR025W,0.433333333
YDR027C,0.483333333
YDR032C,0.666666667
YDR033W,3.466666667
YDR034C,0.8
YDR034W-B,5
YDR035W,1.016666667
YDR036C,1.116666667
YDR038C,0.716666667
YDR039C,4.8
YDR040C,5
YDR043C,0.166666667
YDR046C,0.45
YDR047W,14.08333333
YDR049W,0.616666667
YDR050C,1.6
YDR051C,0.766666667
YDR052C,0.2
YDR055W,0.333333333
YDR056C,2.116666667
YDR059C,1.283333333
YDR060W,1.716666667
YDR061W,0.616666667
YDR062W,0.483333333
YDR063W,5
YDR065W,0.516666667
YDR066C,1.883333333
YDR067C,2.1
YDR068W,1.666666667
YDR069C,1.15
YDR070C,0.716666667
YDR071C,0.783333333
YDR072C,0.383333333
YDR073W,0.5
YDR075W,1.016666667
YDR076W,0.233333333
YDR079W,0.25
YDR080W,2.066666667
YDR081C,1.416666667
YDR083W,1.35
YDR087C,0.85
YDR088C,1.316666667
YDR089W,0.05
YDR090C,1.45
YDR091C,0.633333333
YDR092W,5
YDR093W,0.316666667
YDR096W,0.466666667
YDR097C,0.516666667
YDR098C,3.766666667
YDR099W,5
YDR100W,1.266666667
YDR101C,1.6
YDR103W,0.083333333
YDR108W,0.7
YDR109C,0.05
YDR110W,0.2
YDR111C,0.583333333
YDR115W,1.55
YDR116C,0.783333333
YDR117C,5
YDR118W,1.666666667
YDR119W,0.15
YDR120C,0.483333333
YDR121W,2.283333333
YDR122W,8.116666667
YDR123C,0.216666667
YDR124W,1.083333333
YDR125C,0.55
YDR127W,1
YDR128W,0.05
YDR129C,1.6
YDR132C,0.183333333
YDR135C,0.933333333
YDR137W,0.533333333
YDR138W,0.45
YDR140W,3.983333333
YDR141C,0.383333333
YDR142C,2.9
YDR143C,0.116666667
YDR144C,0.516666667
YDR145W,0.8
YDR147W,0.616666667
YDR148C,0.85
YDR152W,0.65
YDR153C,0.35
YDR155C,5
YDR156W,5
YDR158W,1.75
YDR159W,0.583333333
YDR161W,1.783333333
YDR164C,0.033333333
YDR165W,0.433333333
YDR166C,0.466666667
YDR167W,5
YDR168W,7.566666667
YDR169C,0.65
YDR170C,1.083333333
YDR171W,1.2
YDR173C,6.116666667
YDR174W,5
YDR175C,0.5
YDR176W,0.466666667
YDR177W,0.75
YDR178W,8.016666667
YDR179C,0.666666667
YDR179W-A,0.4
YDR180W,0.35
YDR181C,0.35
YDR182W,0.1
YDR183W,0.333333333
YDR184C,0.033333333
YDR185C,0.416666667
YDR189W,0.533333333
YDR190C,5
YDR191W,0.55
YDR194C,2.7
YDR196C,5
YDR197W,1.216666667
YDR198C,0.466666667
YDR200C,0.483333333
YDR201W,5
YDR202C,17.63333333
YDR210W,5
YDR211W,5
YDR213W,0.55
YDR214W,0.566666667
YDR216W,0.966666667
YDR217C,5
YDR219C,0.883333333
YDR221W,0.433333333
YDR222W,1.266666667
YDR224C,5
YDR226W,3.616666667
YDR228C,0.566666667
